MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE
b'USNO-A2.0 1425-07291668',09 11 53.054,+56 30 10.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07261457',09 01 28.277,+56 52 44.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07247301',08 56 46.882,+57 18 14.98,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07296885',09 13 45.338,+57 16 24.38,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07280793',09 08 07.344,+55 55 55.99,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07274453',09 05 56.148,+58 11 37.93,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07306979',09 17 28.687,+56 49 05.95,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07307464',09 17 39.684,+58 09 41.47,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07265391',09 02 45.314,+55 41 25.51,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07249837',08 57 38.450,+56 40 45.88,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07307037',09 17 29.698,+57 49 07.79,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07308482',09 18 03.043,+57 23 52.44,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07261654',09 01 31.596,+55 42 48.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07208978',08 43 47.945,+55 58 04.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07246158',08 56 22.836,+57 26 49.88,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07279415',09 07 40.104,+57 51 02.16,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07278308',09 07 16.613,+56 18 16.09,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07241580',08 54 53.858,+55 59 50.17,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07246536',08 56 30.619,+56 43 33.82,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07287054',09 10 14.352,+56 45 39.06,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07246289',08 56 25.318,+56 45 02.20,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07292411',09 12 08.606,+55 40 08.44,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07275966',09 06 29.213,+58 12 48.13,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07239416',08 54 09.346,+55 46 10.13,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07243432',08 55 30.002,+56 01 44.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07294603',09 12 52.951,+58 16 27.84,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2421250086184946841',08 57 29.844,+56 11 37.07,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07285689',09 09 46.906,+55 33 37.98,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07246081',08 56 21.348,+56 01 23.77,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07237214',08 53 23.866,+56 48 20.84,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07243178',08 55 24.557,+55 58 16.57,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2421285270557041935',08 58 34.512,+55 49 17.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J09112525+5638257',09 11 25.25,+56 38 25.7,6.0,6.0,230.0,220.0,138.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1425-07264782',09 02 33.461,+55 44 15.54,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07293096',09 12 22.075,+58 12 50.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07262569',09 01 49.483,+56 00 54.94,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07275840',09 06 26.604,+56 13 34.61,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07276887',09 06 47.690,+57 38 15.11,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07239365',08 54 08.786,+55 42 17.21,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07295146',09 13 05.088,+57 59 02.54,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07274479',09 05 56.472,+55 38 13.27,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07237514',08 53 29.947,+56 13 16.54,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07245261',08 56 05.794,+56 50 16.91,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07307901',09 17 49.416,+55 58 09.52,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07285241',09 09 37.754,+56 24 15.05,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1425-07264776',09 02 33.348,+57 45 23.80,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J094959.02+025755.8',09 49 59.022,+02 57 55.79,7.0,7.0,53.0,49.0,90.0,C,O,b'2012ApJS..203...21A'
b'USNO-A2.0 0900-06430303',09 31 46.056,+03 43 24.78,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0900-06433019',09 32 16.212,+02 44 49.16,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J094826.45+035834.5',09 48 26.444,+03 58 34.55,7.0,7.0,96.0,70.0,90.0,C,O,b'2012ApJS..203...21A'
b'2MASS J09314107+0236163',09 31 41.07,+02 36 16.4,6.0,6.0,200.0,200.0,90.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 0900-06433546',09 32 23.066,+02 32 58.09,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2006b] J093654.9+040949',09 36 54.9,+04 09 49,5.0,5.0,,,0.0,C,O,b'2010A&A...518A..10V'
b'2MASS J09342110+0240383',09 34 21.102,+02 40 38.38,7.0,7.0,250.0,220.0,88.0,B,I,b'2003yCat.2246....0C'
b'GALEX 2694465441353437338',09 32 06.312,+03 29 33.43,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0900-06445650',09 34 50.582,+02 36 29.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0900-06440007',09 33 43.464,+03 23 18.64,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0900-06456789',09 37 04.865,+03 28 09.48,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J09423709+0858591',09 42 37.0853,+08 58 59.379,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 0975-06259950',09 30 31.649,+08 01 52.14,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06264179',09 31 27.439,+07 34 13.55,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2006c] J093744.5+075741',09 37 44.4608,+07 57 41.769,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASS J09433906+0917331',09 43 39.0828,+09 17 33.665,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASX J09321094+0941168',09 32 10.9700,+09 41 16.518,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'NVSS J093521+091453',09 35 22.320,+09 14 52.69,7.0,7.0,183.0,142.0,0.0,C,O,b'2009yCat.2294....0A'
b'2MASS J09410986+0814043',09 41 09.8685,+08 14 04.491,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'SDSS J093226.34+092526.1',09 32 26.341,+09 25 26.10,7.0,7.0,52.0,45.0,0.0,C,O,b'2009yCat.2294....0A'
b'2MASS J09395079+0933303',09 39 50.7842,+09 33 31.132,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'NAME PS 15cek',09 36 41.0578,+10 14 15.928,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 0975-06317467',09 43 18.758,+13 49 26.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06118469',09 44 37.476,+15 21 24.37,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2010] J093506.0+162602',09 35 05.940,+16 26 02.72,7.0,7.0,55.0,53.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694078378900720562',09 33 25.518,+15 24 49.88,7.0,7.0,65.0,58.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694078370310785293',09 30 46.684,+15 07 38.25,7.0,7.0,63.0,53.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06102092',09 40 12.048,+15 20 06.83,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06325991',09 45 18.804,+13 43 01.38,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06080507',09 34 13.291,+15 42 05.36,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06276853',09 34 09.062,+14 46 34.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06084192',09 35 12.219,+15 12 22.47,7.0,7.0,59.0,53.0,90.0,C,O,b'2009yCat.2294....0A'
b'SDSS J094615.89+162500.5',09 46 15.893,+16 25 00.58,7.0,7.0,321.0,241.0,0.0,C,O,b'2009yCat.2294....0A'
b'AGC 193883',09 30 51.872,+13 46 58.31,7.0,7.0,87.0,79.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694078370310783707',09 31 04.308,+14 44 08.76,7.0,7.0,63.0,53.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694078391785623792',09 42 54.429,+15 38 05.87,7.0,7.0,70.0,54.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06077559',09 33 23.614,+15 41 12.23,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694078378900718167',09 33 31.431,+14 48 13.00,7.0,7.0,60.0,53.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694078383195687936',09 35 20.831,+16 15 24.46,7.0,7.0,64.0,52.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-06339670',09 48 35.758,+13 50 35.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694078396080590687',09 46 09.521,+14 42 45.65,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06064011',09 30 15.554,+15 20 23.17,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06113993',09 43 25.354,+15 11 09.35,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06280916',09 35 02.866,+14 55 33.31,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06089718',09 36 44.578,+15 17 34.66,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06319927',09 43 54.024,+13 44 44.30,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06326010',09 45 19.102,+13 44 49.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06326252',09 45 22.836,+14 43 48.50,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694078378900718801',09 33 12.195,+14 58 59.21,7.0,7.0,60.0,53.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-06333845',09 47 12.478,+13 50 32.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06328737',09 45 58.425,+13 56 50.83,7.0,7.0,67.0,58.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-06274937',09 33 42.192,+14 41 39.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06079681',09 33 59.371,+16 06 49.07,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06087701',09 36 11.018,+15 27 00.47,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-06315475',09 42 51.466,+14 26 35.20,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06091877',09 37 20.938,+16 18 07.92,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'AGC 193910',09 45 21.392,+14 34 47.71,7.0,7.0,95.0,94.0,0.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-06299407',09 39 07.378,+14 54 31.90,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06095024',09 38 13.154,+15 00 10.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694078378900719721',09 35 39.156,+15 12 09.19,7.0,7.0,10.0,10.0,90.0,C,O,b'2013yCat.5139....0A'
b'USNO-A2.0 0975-06262737',09 31 10.202,+13 51 33.41,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694078378900719639',09 34 26.896,+15 11 13.15,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'USNO-A2.0 0975-06321675',09 44 19.025,+14 39 31.97,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J09335301+2154150',09 33 53.01,+21 54 15.1,6.0,6.0,140.0,140.0,90.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1050-06090337',09 36 55.171,+21 19 56.96,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2485672671479597146',09 32 56.300,+21 03 48.84,7.0,7.0,54.0,51.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2485778224595862482',09 36 24.745,+21 19 40.12,7.0,7.0,54.0,47.0,90.0,C,O,b'2009yCat.2294....0A'
b'2MASS J09331497+2151285',09 33 14.98,+21 51 28.5,6.0,6.0,120.0,110.0,5.0,B,I,b'2003yCat.2246....0C'
b'GALEX 2485778224595871490',09 37 23.326,+22 21 28.28,7.0,7.0,56.0,44.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2485778224595865810',09 39 28.863,+21 39 17.47,7.0,7.0,56.0,50.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06089005',09 36 32.938,+21 23 14.46,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J095035.72+212236.6',09 50 35.726,+21 22 36.63,7.0,7.0,51.0,46.0,0.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06097716',09 38 58.526,+21 15 38.34,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2485778224595864496',09 38 31.667,+21 32 34.37,7.0,7.0,56.0,49.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06068679',09 31 20.825,+20 54 00.76,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06087862',09 36 13.836,+21 33 20.02,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J093306.73+202242.4',09 33 06.730,+20 22 42.47,7.0,7.0,159.0,145.0,0.0,C,O,b'2009yCat.2294....0A'
b'[W85]  25',09 30 57,+21 34.8,4.0,4.0,,,0.0,E,,b''
b'USNO-A2.0 1050-06101686',09 40 05.470,+21 43 51.42,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06069699',09 31 35.494,+21 44 02.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2485672671479603272',09 32 40.338,+21 38 19.57,7.0,7.0,53.0,50.0,90.0,C,O,b'2009yCat.2294....0A'
b'2MASS J09324972+2150417',09 32 49.73,+21 50 41.8,6.0,6.0,200.0,190.0,6.0,B,I,b'2003yCat.2246....0C'
b'2MASSI J0933246+222237',09 33 24.6409,+22 22 37.966,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 1050-06089441',09 36 40.056,+21 13 32.81,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[GDD2014] QC J0938+1957',09 38 58.910,+19 57 34.31,7.0,7.0,,,0.0,D,O,b'2014MNRAS.439..703G'
b'GALEX 2485778224595866041',09 38 04.751,+21 39 53.79,7.0,7.0,50.0,46.0,0.0,C,O,b'2009yCat.2294....0A'
b'2MASS J09351106+2103120',09 35 11.07,+21 03 12.1,6.0,6.0,150.0,140.0,177.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1050-06078210',09 33 33.425,+21 57 45.86,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2485778224595862071',09 36 17.311,+21 15 57.27,7.0,7.0,54.0,47.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06084244',09 35 13.092,+21 47 32.70,7.0,7.0,52.0,52.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-06065270',09 30 33.475,+21 34 04.22,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-06095181',09 38 15.979,+22 14 23.24,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05909312',09 29 10.658,+27 01 54.55,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2736721829282451144',09 50 36.633,+26 17 06.16,7.0,7.0,61.0,60.0,90.0,C,O,b'2009yCat.2294....0A'
b'QSO J0946+2744',09 46 02.33,+27 44 07.1,6.0,6.0,80.0,70.0,83.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1125-05908751',09 29 01.270,+27 32 10.97,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2010] J094533.5+261115',09 45 33.512,+26 11 15.61,7.0,7.0,11.0,11.0,90.0,C,O,b'2011yCat.2306....0A'
b'USNO-A2.0 1125-05926856',09 33 59.093,+28 24 48.35,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05990831',09 50 43.788,+25 49 27.98,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05991833',09 51 00.091,+26 19 45.84,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J09345681+2630542',09 34 56.81,+26 30 54.3,6.0,6.0,160.0,150.0,88.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1125-05908134',09 28 51.367,+27 14 27.78,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J09392508+2720345',09 39 25.086,+27 20 34.50,7.0,7.0,210.0,200.0,15.0,B,N,b'2003yCat.2246....0C'
b'USNO-A2.0 1200-06316316',09 28 16.834,+32 11 17.16,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASSI J0949277+314110',09 49 27.6780,+31 41 09.953,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASSI J0946110+322326',09 46 10.9816,+32 23 26.129,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 1200-06323422',09 30 03.535,+32 12 45.11,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06332678',09 32 30.197,+32 18 59.11,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06321647',09 29 37.051,+32 07 46.24,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06379386',09 44 57.852,+32 12 04.90,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06322570',09 29 50.681,+32 08 29.76,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06332921',09 32 34.394,+32 12 32.87,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06377324',09 44 23.753,+31 31 41.30,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06335757',09 33 21.271,+31 55 55.78,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06363817',09 41 03.223,+32 16 52.14,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06364880',09 41 19.394,+32 05 52.37,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06375610',09 43 57.823,+31 51 38.95,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06338030',09 33 59.837,+32 08 29.22,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06371670',09 42 59.914,+31 46 56.96,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06360198',09 40 04.037,+31 47 58.52,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'9C J0936+3207',09 36 03.9,+32 07 09,5.0,5.0,66.0,66.0,90.0,B,R,b'2003MNRAS.341....1M'
b'USNO-A2.0 1200-06317279',09 28 30.715,+32 23 46.61,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06360509',09 40 09.082,+31 58 32.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06369094',09 42 22.872,+31 34 27.88,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06369568',09 42 29.897,+32 21 00.50,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06371919',09 43 03.682,+31 45 41.83,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06375954',09 44 02.837,+31 38 44.95,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06321291',09 29 31.181,+32 18 14.11,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06321009',09 29 26.616,+31 46 56.03,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'QSO J0934+3153',09 34 03.9661,+31 53 31.389,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 1200-06374068',09 43 34.860,+32 07 49.37,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06317262',09 28 30.406,+31 46 41.38,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2006] J092845.2+383113',09 28 45.1697,+38 31 13.386,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASX J09413769+3819459',09 41 37.698,+38 19 45.91,7.0,7.0,,,0.0,B,I,b'2006AJ....131.1163S'
b'6C 092927+390758',09 32 33.296,+38 54 28.08,7.0,7.0,180.0,140.0,171.0,B,I,b'2003yCat.2246....0C'
b'7C 092608.30+381054.00',09 29 13.9681,+37 57 42.994,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'SDSS J095251.24+390309.1',09 52 51.239,+39 03 09.09,7.0,7.0,35.0,30.0,90.0,C,O,b'2012ApJS..203...21A'
b'2MASS J09362150+3921319',09 36 21.5103,+39 21 32.014,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'[VV2000] J094258.0+401014',09 42 58.0987,+40 10 14.076,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'SDSS J094135.34+400459.2',09 41 35.343,+40 04 59.24,7.0,7.0,64.0,53.0,0.0,C,O,b'2009yCat.2294....0A'
b'SDSS J094308.14+380923.0',09 43 08.136,+38 09 22.95,7.0,7.0,25.0,22.0,90.0,C,O,b'2012ApJS..203...21A'
b'FIRST J093402.9+395948',09 34 02.975,+39 59 48.76,7.0,7.0,56.0,54.0,0.0,C,O,b'2009yCat.2294....0A'
b'FIRST J093932.7+385404',09 39 32.776,+38 54 04.23,7.0,7.0,42.0,38.0,0.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1275-07567890',09 41 27.646,+43 31 29.64,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07548521',09 35 29.131,+43 46 14.45,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07557115',09 38 11.657,+44 32 16.76,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07635148',09 40 11.179,+45 27 53.46,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2683804550840715580',09 30 40.313,+43 59 49.24,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07525155',09 28 22.534,+43 53 36.92,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07608715',09 31 25.740,+45 41 16.44,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07613808',09 33 02.460,+45 39 01.19,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07594935',09 26 59.215,+45 09 58.25,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07610837',09 32 05.244,+45 34 27.62,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07597786',09 27 57.902,+45 54 52.38,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07529416',09 29 38.539,+44 22 05.70,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07669932',09 51 49.157,+46 03 05.29,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07536009',09 31 38.182,+44 19 53.65,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J094705.52+434013.8',09 47 05.523,+43 40 13.85,7.0,7.0,30.0,28.0,90.0,C,O,b'2012ApJS..203...21A'
