MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE
b'SDSS J082726.75+214557.0',08 27 26.758,+21 45 57.09,7.0,7.0,10.0,10.0,90.0,C,O,b'2012ApJS..203...21A'
b'87GB 081811.1+212614',08 21 07.510,+21 17 02.86,7.0,7.0,96.0,95.0,0.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1125-05546630',08 13 27.079,+28 18 52.06,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05560941',08 15 40.745,+27 00 26.50,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05517626',08 09 12.557,+27 26 37.97,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05515532',08 08 54.691,+27 32 10.28,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05547619',08 13 36.523,+27 24 39.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05572253',08 17 29.210,+26 54 48.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05520249',08 09 33.432,+27 00 47.30,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05570922',08 17 16.450,+28 28 26.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05557693',08 15 10.805,+26 40 24.38,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J08182735+2814027',08 18 27.352,+28 14 02.80,7.0,7.0,110.0,110.0,135.0,B,N,b'2003yCat.2246....0C'
b'USNO-A2.0 1125-05554699',08 14 41.366,+28 20 27.17,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV96] J081520.6+273618',08 15 20.6592,+27 36 16.959,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASS J08145077+2538406',08 14 50.77,+25 38 40.6,6.0,6.0,70.0,60.0,90.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1125-05613138',08 24 10.032,+27 58 59.95,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05576437',08 18 09.682,+26 57 02.34,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05586455',08 19 45.156,+28 07 20.86,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05569037',08 16 58.255,+28 29 20.47,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05550417',08 14 01.783,+28 08 42.32,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05565953',08 16 29.330,+27 45 55.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2737144058927386710',08 13 45.105,+28 21 04.12,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'2MASS J08100845+2638556',08 10 08.46,+26 38 55.7,6.0,6.0,200.0,180.0,9.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1125-05543830',08 13 00.238,+27 19 19.13,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05535198',08 11 40.133,+27 48 14.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1125-05624243',08 26 08.662,+28 13 27.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2XMM J081121.6+280105',08 11 21.725,+28 01 05.39,7.0,7.0,,,0.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2737144050337448349',08 11 43.616,+26 34 00.36,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'NGC  2540',08 12 46.425,+26 21 39.13,7.0,7.0,,,0.0,B,I,b'2006AJ....131.1163S'
b'QSO J0809+2753',08 09 01.3507,+27 53 42.238,8.0,8.0,80.69999694824219,73.9000015258789,76.0,B,,b'2009A&A...505..385A'
b'USNO-A2.0 1125-05556868',08 15 02.995,+27 48 33.08,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'Mrk  624',08 24 19.508,+25 40 28.12,7.0,7.0,,,0.0,B,I,b'2006AJ....131.1163S'
b'USNO-A2.0 1125-05647392',08 30 28.186,+27 25 49.55,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J08192389+2618156',08 19 23.89,+26 18 15.6,6.0,6.0,120.0,110.0,26.0,B,I,b'2003yCat.2246....0C'
b'2MASS J08241174+3245358',08 24 11.74,+32 45 35.9,6.0,6.0,270.0,260.0,24.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1200-05998316',08 17 22.006,+32 01 59.56,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2737214423376595705',08 22 34.394,+31 34 48.64,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'SDSS J083010.04+313230.1',08 30 10.041,+31 32 30.07,7.0,7.0,40.0,38.0,0.0,C,O,b'2012ApJS..203...21A'
b'USNO-A2.0 1200-06026306',08 22 41.254,+32 22 38.21,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2737214414786658928',08 22 39.319,+32 02 47.47,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06014152',08 20 16.714,+32 02 06.47,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06047691',08 27 02.244,+33 41 43.58,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06017820',08 20 58.565,+32 14 40.16,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06043775',08 26 15.365,+33 06 19.66,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06027540',08 22 56.369,+32 59 47.65,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06023575',08 22 09.319,+31 56 23.42,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J082550.58+332543.1',08 25 50.576,+33 25 43.08,7.0,7.0,28.0,28.0,0.0,C,O,b'2012ApJS..203...21A'
b'USNO-A2.0 1200-06037129',08 24 55.265,+33 04 12.76,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'QSO J0812+32',08 12 40.6837,+32 08 08.577,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASS J08130746+3300037',08 13 07.469,+33 00 03.79,7.0,7.0,230.0,200.0,10.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1200-06040969',08 25 41.640,+33 47 59.78,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06019012',08 21 13.342,+32 32 30.34,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06041271',08 25 45.456,+31 41 43.91,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'7C 081059.60+324640.00',08 14 09.2186,+32 37 31.970,9.0,9.0,0.46000000834465027,0.4300000071525574,0.0,B,R,b'2011AJ....142...89P'
b'USNO-A2.0 1200-06026202',08 22 40.234,+31 33 56.45,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J08240622+3342448',08 24 06.2330,+33 42 44.829,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 1200-06053450',08 28 11.578,+32 46 43.75,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J082949.33+325935.7',08 29 49.335,+32 59 35.73,7.0,7.0,74.0,73.0,0.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1200-06016704',08 20 45.607,+32 40 08.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06019830',08 21 22.502,+31 51 55.76,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J08261840+3343170',08 26 18.40,+33 43 17.1,6.0,6.0,70.0,60.0,0.0,B,I,b'2003yCat.2246....0C'
b'2MASS J08180753+3134416',08 18 07.53,+31 34 41.6,6.0,6.0,170.0,170.0,90.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1200-06017827',08 20 58.776,+32 54 22.68,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1200-06023579',08 22 09.439,+32 58 58.73,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J082808.71+333655.3',08 28 08.713,+33 36 55.24,7.0,7.0,33.0,33.0,0.0,C,O,b'2012ApJS..203...21A'
b'SDSS J081803.02+330737.7',08 18 03.019,+33 07 37.65,7.0,7.0,17.0,17.0,0.0,C,O,b'2012ApJS..203...21A'
b'USNO-A2.0 1200-06058177',08 29 08.681,+31 48 07.13,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2737214423376596149',08 24 06.285,+31 40 35.28,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'2MASS J08294692+3139025',08 29 46.93,+31 39 02.6,6.0,6.0,90.0,90.0,90.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1275-07199087',08 11 38.712,+37 38 27.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2000] J081130.7+390409',08 11 30.7937,+39 04 11.145,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'USNO-A2.0 1275-07274918',08 26 47.189,+38 07 32.59,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07176890',08 07 23.813,+39 11 42.97,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07237357',08 19 13.193,+38 02 27.10,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'7C 082701.60+393349.00',08 30 19.362,+39 23 46.22,7.0,7.0,100.0,100.0,174.0,B,N,b'2003yCat.2246....0C'
b'USNO-A2.0 1275-07178673',08 07 43.658,+39 07 39.61,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07224272',08 16 34.322,+37 35 00.74,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07234116',08 18 33.170,+37 47 32.68,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'[VV2000] J080849.2+400918',08 08 49.2383,+40 09 18.735,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'2MASS J08100874+3917288',08 10 08.74,+39 17 28.9,6.0,6.0,60.0,60.0,90.0,B,I,b'2003yCat.2246....0C'
b'4C 39.23A',08 24 55.4838,+39 16 41.904,9.0,9.0,0.10000000149011612,0.05999999865889549,0.0,A,R,b'2010AJ....139.1695L'
b'USNO-A2.0 1275-07266569',08 25 07.618,+37 47 36.38,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07281712',08 28 13.253,+38 23 00.28,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASX J08184927+3834162',08 18 49.2688,+38 34 16.078,8.0,8.0,88.0,70.0,0.0,B,,b'2009A&A...505..385A'
b'USNO-A2.0 1275-07184427',08 08 51.278,+39 34 15.42,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07188041',08 09 32.923,+40 05 05.17,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07197909',08 11 24.996,+39 37 28.92,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'7C 082447.70+394530.00',08 28 06.8427,+39 35 40.260,8.0,8.0,90.5999984741211,62.29999923706055,0.0,B,,b'2009A&A...505..385A'
b'2MASS J08191142+4028444',08 19 11.42,+40 28 44.4,6.0,6.0,150.0,150.0,90.0,B,I,b'2003yCat.2246....0C'
b'[VV2000] J081148.4+375645',08 11 48.3212,+37 56 45.227,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A'
b'GALEX 2684015644188348867',08 24 37.775,+38 19 07.02,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'USNO-A2.0 1275-07216698',08 15 06.310,+37 48 04.68,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07259401',08 23 44.090,+37 35 42.54,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07238722',08 19 29.671,+38 05 49.31,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'FIRST J082556.2+402000',08 25 56.208,+40 20 00.06,7.0,7.0,58.0,58.0,90.0,C,O,b'2009yCat.2294....0A'
b'7C 081247.00+403833.00',08 16 08.3,+40 29 18,5.0,5.0,1000.0,1000.0,90.0,C,R,b'1997ApJ...475..479W'
b'USNO-A2.0 1275-07186474',08 09 14.750,+39 42 52.74,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07205519',08 12 53.842,+37 51 02.02,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07270124',08 25 48.334,+37 55 01.06,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07249499',08 21 45.917,+38 00 53.03,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07288453',08 29 43.294,+37 46 11.75,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07318449',08 10 42.667,+45 14 46.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J080905.57+462013.8',08 09 05.581,+46 20 13.68,7.0,7.0,97.0,96.0,0.0,C,O,b'2012ApJS..203...21A'
b'2MASS J08073738+4436431',08 07 37.383,+44 36 43.13,7.0,7.0,270.0,220.0,2.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1275-07185380',08 09 01.913,+44 59 20.87,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07311995',08 09 13.015,+45 52 14.66,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J08271662+4533427',08 27 16.62,+45 33 42.7,6.0,6.0,230.0,200.0,7.0,B,I,b'2003yCat.2246....0C'
b'2MASS J08084448+4403578',08 08 44.48,+44 03 57.9,6.0,6.0,280.0,260.0,74.0,B,I,b'2003yCat.2246....0C'
b'GALEX 2419877895673488370',08 06 27.336,+46 18 29.52,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07347418',08 17 33.022,+46 29 47.04,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07390528',08 27 38.071,+45 10 25.39,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07335179',08 14 40.855,+46 07 49.01,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2484898615293644206',08 13 03.212,+45 48 29.57,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
